key,issue,langValue,enValue,trValue
didYouFind,same-as-en,"Tapdınız?","Tapdınız?","Tapdınız?"
howMany,same-as-en,"Neçə dənə var?","Neçə dənə var?","Neçə dənə var?"
isItAlive,same-as-en,"Bu canlıdır?","Bu canlıdır?","Bu canlıdır?"
isItBroken,same-as-en,"Bu qırılıb?","Bu qırılıb?","Bu qırılıb?"
isItClean,same-as-en,"Bu təmizdir?","Bu təmizdir?","Bu təmizdir?"
isItClosed,same-as-en,"Bu bağlıdır?","Bu bağlıdır?","Bu bağlıdır?"
isItCold,same-as-en,"Bu soyuq?","Bu soyuq?","Bu soyuq?"
isItDead,same-as-en,"Bu ölüdür?","Bu ölüdür?","Bu ölüdür?"
isItDirty,same-as-en,"Bu çirkli?","Bu çirkli?","Bu çirkli?"
isItDry,same-as-en,"Bu quru?","Bu quru?","Bu quru?"
isItEmpty,same-as-en,"Bu boşdur?","Bu boşdur?","Bu boşdur?"
isItFixed,same-as-en,"Bu düzəldilib?","Bu düzəldilib?","Bu düzəldilib?"
isItFull,same-as-en,"Bu doludur?","Bu doludur?","Bu doludur?"
isItHeavy,same-as-en,"Bu ağırdır?","Bu ağırdır?","Bu ağırdır?"
isItHot,same-as-en,"Bu isti?","Bu isti?","Bu isti?"
isItLight,same-as-en,"Bu yüngüldür?","Bu yüngüldür?","Bu yüngüldür?"
isItLong,same-as-en,"Bu uzundur?","Bu uzundur?","Bu uzundur?"
isItOpen,same-as-en,"Bu açıqdır?","Bu açıqdır?","Bu açıqdır?"
isItRound,same-as-en,"Bu dairəvidir?","Bu dairəvidir?","Bu dairəvidir?"
isItShort,same-as-en,"Bu qısadır?","Bu qısadır?","Bu qısadır?"
isItSquare,same-as-en,"Bu kvadratdır?","Bu kvadratdır?","Bu kvadratdır?"
isItThick,same-as-en,"Bu qalındır?","Bu qalındır?","Bu qalındır?"
isItThin,same-as-en,"Bu incədir?","Bu incədir?","Bu incədir?"
isItWet,same-as-en,"Bu yaşdır?","Bu yaşdır?","Bu yaşdır?"
whatColorIsIt,same-as-en,"Hansı rəngdədir?","Hansı rəngdədir?","Hansı rəngdədir?"
whatIsThis,same-as-en,"Bu nədir?","Bu nədir?","Bu nədir?"
whatShapeIsIt,same-as-en,"Hansı formadadır?","Hansı formadadır?","Hansı formadadır?"
whereIsIt,same-as-en,"Bu haradadır?","Bu haradadır?","Bu haradadır?"
whichColor,same-as-en,"Hansı rəngdir?","Hansı rəngdir?","Hansı rəngdir?"
whichOneIsBigger,same-as-en,"Hansının daha böyükdür?","Hansının daha böyükdür?","Hansının daha böyükdür?"
whichOneIsSmaller,same-as-en,"Hansının daha kiçikdir?","Hansının daha kiçikdir?","Hansının daha kiçikdir?"
whichShape,same-as-en,"Hansı formadadır?","Hansı formadadır?","Hansı formadadır?"
whichSide,same-as-en,"Hansı tərəfdir?","Hansı tərəfdir?","Hansı tərəfdir?"
whichWay,same-as-en,"Hansı tərəf?","Hansı tərəf?","Hansı tərəf?"
